,ID,Path,Asset,Name,Description,Type,Value Unit Of Measure,Datasource Name,Archived,Source Value Unit Of Measure,Datasource ID,Sync Token,Number Format,Enabled,Key Unit Of Measure,Cache ID,Datasource Class,Cache Enabled,Data ID,Interpolation Method,Unsearchable,Source Maximum Interpolation,Maximum Interpolation,size,Line Width,Override Maximum Interpolation,Lane,UIConfig,Formula,Formula Parameters,Maximum Duration,Metadata Properties,String Format
0,023B795B-933A-493D-A092-232E8C3766D2,Example >> Cooling Tower 1,Area G,Temperature,,StoredSignal,°F,Example Data,False,°F,Example Data,2023-02-14T14:23:22.157733130Z,0.00,True,ns,1050C958-8359-4471-8523-B5E4D7C3E566,Time Series CSV Files,False,Area G_Temperature.sim.ts.csv,Linear,False,2min,2min,,,,,,,,,,
1,069AD9EF-EB7F-4D99-BF5A-097AD613C749,Example >> Cooling Tower 1,Area K,Area K,,Asset,,Example Data,False,,Example Data,2023-02-14T14:23:22.157733130Z,,True,,,Time Series CSV Files,False,root/Cooling Tower 1/Area K,,False,,,0.7,,,,,,,,,
2,12AA2E14-A1B6-4735-A1B7-DE176329A80F,Example >> Cooling Tower 1,Area J,Temperature,,StoredSignal,°F,Example Data,False,°F,Example Data,2023-02-14T14:23:22.157733130Z,,True,ns,763CD481-5ED2-47DF-8B2E-89E06158173A,Time Series CSV Files,False,Area J_Temperature.sim.ts.csv,Linear,False,2min,2min,,,,,,,,,,
3,12C0AA11-C986-4496-8467-1D66EE3E0719,Example >> Cooling Tower 1,Area C,Temperature,,StoredSignal,°F,Example Data,False,F,Example Data,2023-02-14T14:23:22.157733130Z,,False,ns,A0CE3B7E-D913-422E-A423-0C51637C2566,Time Series CSV Files,True,Area C_Temperature.sim.ts.csv,Linear,False,2min,2min,,1.0,2min,3.0,,,,,,
4,1994DF72-E589-400A-93F8-3DEA2E706F4D,Example >> Cooling Tower 1,Area I,Temperature,,StoredSignal,°F,Example Data,False,°F,Example Data,2023-02-14T14:23:22.157733130Z,,True,ns,82309A12-276A-48E4-B6E0-F402FDF21A6B,Time Series CSV Files,False,Area I_Temperature.sim.ts.csv,Linear,False,2min,2min,,,,,,,,,,
5,20A0EBA4-3C88-438B-AFAA-C761B839486F,Example >> Cooling Tower 1,Area C,Relative Humidity,,StoredSignal,%,Example Data,False,%,Example Data,2023-02-14T14:23:22.157733130Z,,False,ns,2D91921B-4981-46A8-A934-FFEC283ACE65,Time Series CSV Files,False,Area C_Relative Humidity.sim.ts.csv,Linear,False,2min,2min,,1.0,,4.0,,,,,,
6,2407642C-0169-4ED0-A25C-321E29DC975B,Example >> Cooling Tower 1,Area A,Area A,,Asset,,Example Data,False,,Example Data,2023-02-14T14:23:22.157733130Z,,True,,,Time Series CSV Files,False,root/Cooling Tower 1/Area A,,False,,,1.0,,,,,,,,,
7,261A7556-5570-4B00-A8E2-CADC51D8780D,Example >> Cooling Tower 1,Area I,Area I,,Asset,,Example Data,False,,Example Data,2023-02-14T14:23:22.157733130Z,,True,,,Time Series CSV Files,False,root/Cooling Tower 1/Area I,,False,,,0.7,,,,,,,,,
8,29421ACE-2683-4625-B850-6B04AC877C6F,Example >> Cooling Tower 1,Area K,Wet Bulb,,StoredSignal,°F,Example Data,False,°F,Example Data,2023-02-14T14:23:22.157733130Z,,True,ns,97F7A984-5F67-4606-A310-95A93B229730,Time Series CSV Files,False,Area K_Wet Bulb.sim.ts.csv,Linear,False,2min,2min,,,,,,,,,,
9,30FAD631-FE7D-4768-9BE7-5A44B021B161,Example >> Cooling Tower 1,Area A,Compressor Power,,StoredSignal,kW,Example Data,False,kW,Example Data,2023-06-17T03:26:00.964250731Z,auto,False,ns,11293AEB-A88B-4DC7-B4C6-A207A8A9209A,Time Series CSV Files,False,Area A_Compressor Power.sim.ts.csv,Linear,False,2min,2min,,1.0,2min,1.0,,,,,,
10,34AD4E1B-3072-4D28-A45E-30A2B81E3AC5,Example >> Cooling Tower 1,Area I,Relative Humidity,,StoredSignal,%,Example Data,False,%,Example Data,2023-02-14T14:23:22.157733130Z,,True,ns,98EFAC86-42E2-4868-9FAC-9AA0D91DDF50,Time Series CSV Files,False,Area I_Relative Humidity.sim.ts.csv,Linear,False,2min,2min,,,,,,,,,,
11,4A093C4B-BE04-488D-9180-970007FAAB5F,Example >> Cooling Tower 1,Area G,Optimizer,From PHD,StoredSignal,,Example Data,False,,Example Data,2023-02-14T14:23:22.157733130Z,,True,ns,E198A1E7-FA5B-4CA0-AABC-71C69B3D9355,Time Series CSV Files,False,Area G_Optimizer.sim.ts.csv,Linear,False,10082min,10082min,,,,,,,,,,
12,4B919146-51D5-413C-9A68-20DECEFE422A,Example >> Cooling Tower 1,Area H,Wet Bulb,,StoredSignal,°F,Example Data,False,°F,Example Data,2023-02-14T14:23:22.157733130Z,,True,ns,40834DBE-0271-414C-A926-EB19CE5EED6F,Time Series CSV Files,False,Area H_Wet Bulb.sim.ts.csv,Linear,False,2min,2min,,,,,,,,,,
